POINTID,NUTS_0,Lucas2009,Lucas2012,Lucas2015,Lucas2018,Coarse,Clay,Sand,Silt,PSDAvailable,TextureFromSurvey,USDA,ISSS
90000005,CY,YES,NO,NO,NO,18,26,37,37,Yes,2009,loam,silty loam
90000004,CY,YES,NO,NO,NO,10,22,55,23,Yes,2009,sandy clay loam,loam
90000003,CY,YES,NO,NO,NO,23,26,46,29,Yes,2009,sandy clay loam,silty loam
90000002,CY,YES,NO,NO,NO,3,56,19,25,Yes,2009,clay,clay
90000001,CY,YES,NO,NO,NO,5,43,20,38,Yes,2009,clay,silty clay
64981672,CY,YES,NO,YES,YES,23,34,25,41,Yes,2009,clay loam,silty clay loam
64961676,CY,YES,NO,YES,YES,4,10,84,6,Yes,2009,loamy sand,sandy loam
64901672,CY,NO,NO,YES,YES,4,34,43,23,Yes,2015,clay loam,clay loam
64901670,CY,YES,NO,NO,NO,13,36,48,16,Yes,2009,sandy clay,clay
64901668,CY,NO,NO,YES,YES,3,32,39,28,Yes,2015,clay loam,silty clay loam
64881666,CY,NO,NO,YES,YES,15,50,23,27,Yes,2015,clay,silty clay
64881664,CY,YES,NO,NO,NO,17,27,42,30,Yes,2009,loam,silty clay loam
64841674,CY,YES,NO,NO,NO,7,26,62,12,Yes,2009,sandy clay loam,clay loam
64841670,CY,YES,NO,YES,YES,3,4,86,9,Yes,2009,loamy sand,loamy sand
64841666,CY,YES,NO,YES,YES,11,32,49,19,Yes,2009,sandy clay loam,clay loam
64821674,CY,YES,NO,NO,NO,10,29,38,33,Yes,2009,clay loam,silty clay loam
64821668,CY,NO,NO,YES,YES,4,46,24,30,Yes,2015,clay,silty clay
64801668,CY,NO,NO,YES,YES,11,46,26,28,Yes,2015,clay,silty clay
64661660,CY,NO,NO,YES,YES,8,22,43,35,Yes,2015,loam,silty loam
64661656,CY,NO,NO,YES,YES,8,20,57,23,Yes,2015,sandy loam,loam
64661640,CY,YES,NO,NO,NO,13,9,75,16,Yes,2009,sandy loam,loamy sand
64641662,CY,YES,NO,NO,NO,26,25,34,40,Yes,2009,loam,silty loam
64641642,CY,YES,NO,NO,NO,25,35,15,50,Yes,2009,silty clay loam,silty clay loam
64641640,CY,NO,NO,YES,YES,11,35,23,42,Yes,2015,clay loam,silty clay loam
64621658,CY,YES,NO,YES,YES,22,29,24,47,Yes,2009,clay loam,silty clay loam
64621644,CY,YES,NO,YES,YES,12,32,26,42,Yes,2009,clay loam,silty clay loam
64601644,CY,NO,NO,YES,YES,25,44,16,40,Yes,2015,clay,silty clay
64601638,CY,YES,NO,YES,YES,15,33,27,39,Yes,2009,clay loam,silty clay loam
64601636,CY,NO,NO,NO,YES,,,,,No,,,
64581660,CY,NO,NO,YES,YES,13,25,39,36,Yes,2015,loam,silty loam
64581636,CY,YES,NO,NO,NO,20,19,47,34,Yes,2009,loam,silty loam
64561634,CY,NO,NO,YES,YES,13,22,42,36,Yes,2015,loam,silty loam
64541646,CY,YES,NO,YES,YES,48,24,23,53,Yes,2009,silt loam,silty loam
64541644,CY,NO,NO,YES,NO,11,27,24,49,Yes,2015,loam,silty clay loam
64521650,CY,YES,NO,NO,NO,16,25,24,51,Yes,2009,silt loam,silty loam
64501650,CY,NO,NO,YES,YES,20,17,55,28,Yes,2015,sandy loam,silty loam
64501646,CY,YES,NO,NO,NO,36,7,74,19,Yes,2009,sandy loam,loamy sand
64501634,CY,YES,NO,NO,NO,15,23,28,49,Yes,2009,loam,silty loam
64481650,CY,YES,NO,YES,NO,27,20,48,32,Yes,2009,loam,silty loam
64481628,CY,YES,NO,NO,NO,14,21,41,38,Yes,2009,loam,silty loam
64461636,CY,YES,NO,NO,NO,22,27,29,44,Yes,2009,loam,silty clay loam
64461632,CY,NO,NO,YES,YES,14,25,41,34,Yes,2015,loam,silty loam
64441660,CY,YES,NO,NO,NO,12,9,67,24,Yes,2009,sandy loam,loamy sand
64441626,CY,YES,NO,YES,YES,21,29,23,48,Yes,2009,clay loam,silty clay loam
64421628,CY,YES,NO,YES,YES,18,26,28,46,Yes,2009,loam,silty loam
64401660,CY,NO,NO,YES,NO,14,14,68,18,Yes,2015,sandy loam,loam
64401628,CY,NO,NO,YES,YES,16,37,18,45,Yes,2015,silty clay loam,silty clay loam
64401626,CY,YES,NO,NO,NO,29,28,25,47,Yes,2009,clay loam,silty clay loam
64401622,CY,YES,NO,YES,YES,21,26,20,53,Yes,2009,silt loam,silty loam
64361642,CY,YES,NO,NO,NO,36,34,30,36,Yes,2009,clay loam,silty clay loam
64341644,CY,NO,NO,YES,YES,30,10,69,21,Yes,2015,sandy loam,loamy sand
64301648,CY,NO,NO,YES,YES,18,25,22,53,Yes,2015,silt loam,silty loam
64301618,CY,NO,NO,YES,YES,41,43,20,37,Yes,2015,clay,silty clay
64281660,CY,YES,NO,NO,NO,15,33,23,44,Yes,2009,clay loam,silty clay loam
64281654,CY,NO,NO,YES,YES,9,35,19,46,Yes,2015,silty clay loam,silty clay loam
64281652,CY,YES,NO,NO,NO,13,32,15,53,Yes,2009,silty clay loam,silty clay loam
64281648,CY,YES,NO,NO,NO,9,21,27,52,Yes,2009,silt loam,silty loam
64281620,CY,YES,NO,NO,NO,35,16,57,27,Yes,2009,sandy loam,silty loam
64261660,CY,NO,NO,YES,YES,20,25,38,38,Yes,2015,loam,silty loam
64261646,CY,NO,NO,YES,YES,20,14,55,31,Yes,2015,sandy loam,silty loam
64261634,CY,YES,NO,NO,NO,34,16,58,26,Yes,2009,sandy loam,silty loam
64241656,CY,NO,NO,YES,YES,29,27,40,32,Yes,2015,loam,silty clay loam
64241648,CY,YES,NO,NO,NO,31,22,46,32,Yes,2009,loam,silty loam
64241638,CY,YES,NO,NO,YES,41,24,46,30,Yes,2009,loam,silty loam
64241634,CY,NO,NO,NO,YES,,,,,No,,,
64241632,CY,YES,NO,NO,NO,46,26,40,33,Yes,2009,loam,silty loam
64221656,CY,YES,NO,NO,NO,34,41,31,28,Yes,2009,clay,silty clay
64221650,CY,NO,NO,YES,YES,21,29,36,35,Yes,2015,clay loam,silty clay loam
64221626,CY,YES,NO,NO,NO,38,6,76,19,Yes,2009,loamy sand,loamy sand
64221616,CY,YES,NO,NO,NO,25,30,10,59,Yes,2009,silty clay loam,silty clay loam
64221614,CY,NO,NO,YES,NO,17,14,66,20,Yes,2015,sandy loam,loam
64201652,CY,YES,NO,NO,NO,11,17,39,44,Yes,2009,loam,silty loam
64201640,CY,YES,NO,NO,YES,30,9,64,27,Yes,2009,sandy loam,silty loam
64201632,CY,YES,NO,NO,YES,61,19,45,36,Yes,2009,loam,silty loam
64181630,CY,NO,NO,YES,NO,20,20,49,31,Yes,2015,loam,silty loam
64161658,CY,YES,NO,YES,YES,19,23,45,32,Yes,2009,loam,silty loam
64161654,CY,YES,NO,NO,NO,21,34,30,36,Yes,2009,clay loam,silty clay loam
64161652,CY,NO,NO,YES,YES,18,34,24,42,Yes,2015,clay loam,silty clay loam
64161616,CY,NO,NO,YES,NO,30,19,41,41,Yes,2015,loam,silty loam
64141632,CY,YES,NO,YES,YES,23,19,54,27,Yes,2009,sandy loam,silty loam
64141618,CY,YES,NO,NO,NO,31,24,35,40,Yes,2009,loam,silty loam
64121612,CY,YES,NO,YES,YES,37,29,28,43,Yes,2009,clay loam,silty clay loam
64121610,CY,YES,NO,NO,NO,23,32,28,40,Yes,2009,clay loam,silty clay loam
64101654,CY,YES,NO,NO,NO,45,23,55,22,Yes,2009,sandy clay loam,loam
64101650,CY,NO,NO,YES,NO,26,8,66,25,Yes,2015,sandy loam,silty loam
64101646,CY,YES,NO,NO,NO,39,10,67,23,Yes,2009,sandy loam,loamy sand
64101632,CY,YES,NO,NO,YES,20,12,58,30,Yes,2009,sandy loam,silty loam
64101622,CY,YES,NO,NO,NO,55,7,65,28,Yes,2009,sandy loam,silty loam
64101618,CY,NO,NO,YES,YES,18,29,30,41,Yes,2015,clay loam,silty clay loam
64101616,CY,YES,NO,NO,NO,26,26,33,40,Yes,2009,loam,silty loam
64081656,CY,YES,NO,NO,NO,28,41,29,30,Yes,2009,clay,silty clay
64081650,CY,NO,NO,YES,YES,16,25,30,44,Yes,2015,loam,silty loam
64081622,CY,NO,NO,YES,YES,17,27,35,37,Yes,2015,loam,silty clay loam
64081610,CY,YES,NO,NO,NO,24,27,23,49,Yes,2009,silt loam,silty clay loam
64081606,CY,YES,NO,NO,NO,28,25,34,41,Yes,2009,loam,silty loam
64061656,CY,NO,NO,YES,YES,11,27,30,43,Yes,2015,loam,silty clay loam
64061618,CY,NO,NO,YES,NO,34,13,61,26,Yes,2015,sandy loam,silty loam
64061612,CY,NO,NO,NO,YES,,,,,No,,,
64061610,CY,NO,NO,YES,YES,16,31,29,40,Yes,2015,clay loam,silty clay loam
64061606,CY,NO,NO,YES,YES,20,21,38,41,Yes,2015,loam,silty loam
64041624,CY,NO,NO,YES,YES,9,13,49,38,Yes,2015,loam,silty loam
64021624,CY,YES,NO,NO,NO,50,11,59,30,Yes,2009,sandy loam,silty loam
64001608,CY,NO,NO,YES,NO,18,30,22,48,Yes,2015,clay loam,silty clay loam
63981622,CY,YES,NO,NO,NO,36,25,35,40,Yes,2009,loam,silty loam
63981616,CY,YES,NO,NO,NO,29,30,27,43,Yes,2009,clay loam,silty clay loam
63981608,CY,YES,NO,NO,NO,34,18,48,33,Yes,2009,loam,silty loam
63961644,CY,YES,NO,NO,NO,27,6,69,25,Yes,2009,sandy loam,silty loam
63961626,CY,YES,NO,NO,YES,27,7,62,31,Yes,2009,sandy loam,silty loam
63961622,CY,NO,NO,YES,YES,23,33,29,38,Yes,2015,clay loam,silty clay loam
63961606,CY,NO,NO,YES,YES,19,39,17,44,Yes,2015,silty clay loam,silty clay loam
63941646,CY,NO,NO,YES,YES,21,9,63,27,Yes,2015,sandy loam,silty loam
63941630,CY,YES,NO,YES,NO,45,13,56,31,Yes,2009,sandy loam,silty loam
63941628,CY,NO,NO,YES,NO,28,14,60,26,Yes,2015,sandy loam,silty loam
63941604,CY,YES,NO,NO,NO,20,23,27,50,Yes,2009,silt loam,silty loam
63921638,CY,YES,NO,YES,NO,27,9,66,25,Yes,2009,sandy loam,silty loam
63921610,CY,YES,NO,NO,NO,16,20,39,42,Yes,2009,loam,silty loam
63921608,CY,NO,NO,YES,YES,33,30,24,46,Yes,2015,clay loam,silty clay loam
63901616,CY,YES,NO,YES,NO,26,33,27,40,Yes,2009,clay loam,silty clay loam
63901606,CY,YES,NO,NO,NO,23,24,36,40,Yes,2009,loam,silty loam
63901600,CY,YES,NO,NO,NO,25,17,43,39,Yes,2009,loam,silty loam
63881608,CY,NO,NO,YES,YES,9,21,48,31,Yes,2015,loam,silty loam
63881600,CY,YES,NO,YES,YES,19,30,22,48,Yes,2009,clay loam,silty clay loam
63861612,CY,NO,NO,YES,NO,12,26,35,39,Yes,2015,loam,silty loam
63861608,CY,YES,NO,NO,NO,34,30,22,48,Yes,2009,clay loam,silty clay loam
63801600,CY,YES,NO,NO,NO,17,29,32,39,Yes,2009,clay loam,silty clay loam
63801598,CY,NO,NO,YES,YES,12,31,34,35,Yes,2015,clay loam,silty clay loam
63761620,CY,YES,NO,NO,NO,29,25,30,45,Yes,2009,loam,silty loam
63761602,CY,YES,NO,NO,NO,19,34,30,37,Yes,2009,clay loam,silty clay loam
63761600,CY,NO,NO,YES,YES,18,29,33,39,Yes,2015,clay loam,silty clay loam
63741622,CY,NO,NO,YES,YES,28,38,19,42,Yes,2015,silty clay loam,silty clay loam
63741606,CY,NO,NO,YES,YES,35,37,27,35,Yes,2015,clay loam,silty clay loam
63721606,CY,YES,NO,NO,NO,28,34,33,32,Yes,2009,clay loam,silty clay loam
63681618,CY,YES,NO,YES,YES,6,41,8,51,Yes,2009,silty clay,silty clay
63681608,CY,YES,NO,NO,NO,40,31,24,44,Yes,2009,clay loam,silty clay loam
63661612,CY,NO,NO,YES,YES,12,42,16,42,Yes,2015,silty clay,silty clay
63641618,CY,YES,NO,NO,NO,5,41,11,48,Yes,2009,silty clay,silty clay
63641612,CY,YES,NO,NO,NO,27,39,12,49,Yes,2009,silty clay loam,silty clay loam
63641606,CY,NO,NO,YES,YES,19,38,29,34,Yes,2015,clay loam,silty clay loam
63621622,CY,NO,NO,YES,NO,16,38,18,44,Yes,2015,silty clay loam,silty clay loam
63621618,CY,NO,NO,YES,YES,22,39,21,40,Yes,2015,clay loam,silty clay loam
63621610,CY,NO,NO,YES,NO,16,27,28,45,Yes,2015,loam,silty clay loam
63601620,CY,YES,NO,NO,NO,27,31,20,49,Yes,2009,silty clay loam,silty clay loam
63601616,CY,YES,NO,NO,NO,24,32,17,50,Yes,2009,silty clay loam,silty clay loam
63601614,CY,NO,NO,YES,YES,33,30,27,43,Yes,2015,clay loam,silty clay loam
63601608,CY,YES,NO,NO,NO,20,41,27,32,Yes,2009,clay,silty clay
63581632,CY,YES,NO,NO,YES,40,33,40,26,Yes,2009,clay loam,silty clay loam
63581624,CY,NO,NO,YES,YES,17,25,46,30,Yes,2015,loam,silty loam
63561622,CY,YES,NO,NO,NO,8,16,67,17,Yes,2009,sandy loam,loam
63541612,CY,YES,NO,NO,NO,33,33,15,52,Yes,2009,silty clay loam,silty clay loam
58082628,RO,NO,YES,YES,NO,1,24,10,66,Yes,2012,silt loam,silty loam
58062624,RO,NO,YES,NO,NO,,16,5,79,Yes,2012,silt loam,silty loam
